query,timestamp,start_time,end_time,lection,transcription,pred,context,accuracy@3
Равенство в неравенстве Коши-Буняковского,Время: 29:55,1795,1855,линал_лекция_24,а а плюс тб равен нулю означает что а равно минус тб то есть ай б пропорциональны вот это неравенство остановится равенством тогда и только тогда когда векторы айб пропорциональны то есть линензависимы лежат о одной и той же прибой просто отличаются на констант при этом если ну если один из векторов нулевой то просто вот это равно нулю вот это равно нулю и вот это равно нулю а если они оба не нулевые то это сколерное прозвеление но оно либо положительное либо отрицательное и тогда либо вот это будет равенство либо здесь будет либо здесь ну конечно они оба было бы странно если бы были верны оба равенства когда все ненулевое так что вот так хорошо мы знаем когда оно обращается в равенство это нам пригодится на семинаре есть некоторые задачи которые решаются этим путем,"['Время: 29:05', 'Время: 29:55', 'Время: 19:05']","1. неравенство треугольника доказательство несложное но оно опирается на вот это неравенство а вот это неравенство это на свами большое интересное неравенство оно называется неравенство каши буниковского в советской литературе или неравенством каши шварца в зарубежной литературе ну или иногда говорят каши буняковского шварца чтобы всех уважить грубо говоря каши придумал это неравенство для частного случая какого то прямо совсем частного мне кажется типа на плоскости для векторов с двумя координатами извините надеюсь вас не сильно заразил осном так вот буняковский кажется рассмотрел ну более общий случай как раз там энмерный там написал неравенство шварц рассматривал произвольные векторные пространство воинти
2. буняковский кажется рассмотрел ну более общий случай как раз там нмерный там написал неравенство шварцы рассматривал произвольные векторные пространства его интересовали не столько произвольное сколько некоторые конкретные но вот не наши обычные пространство типа рн а он рассматривал интегральные пространства там множество каких то функций специального класса там стремительно убывающих на бесконечности там ну в общем его сколярное произведение был некоторым интегралом от произведения функций вот это все в общем у него была довольно сложная ситуация в которой он это неравенство рассматривал но оно ему было очень важно но там тоже давало некоторые интегральные оценки одни интегралы через другие можно оценить сверху это было ему важно поэтому в общем ну как бы в каком то смысле он больше всех проделал в плане превращения этого всего в абстрактное неравенство итак
3. наверняка там еще несколько доказательств естья замечу что есть собственно гибридные доказательства которые не очень простые понятные но которые сочетают вот как бы вот это доказательство с какими то другими ну долго объяснять н в общем там строят некоторую матрицу специальную но смысл в том что короче если их исследовать то можно понять а как вообще до вот этого доказательства додумались но мы этим заниматься не будем итак я вам показал совершенно магическое доказательство но оно работает и тем самым мы теперь ставим неравенство каши буряковского какую положительно определенную симметричную бельнейную форму не возьми она удовлетворяет вот такому неравенству окей нет вопросов
4. ну пока понятно ну вот хорошо дополнительное свойство этого неравенства довольно важное для нас тоже что и анализируя происходящее здесь можно понять в какой ситуации возможно равенство равенство возможно если дискриминант равен нулю а дискриминант равен нулю если у вот этой штуки есть корень то есть если есть ситуация при которой а плюс тб сам вектор равен нулю а а плюс тб равен нулю означает что а равно минус тб то есть а й б пропорционально вот это неравенство остановится равенством тогда и только тогда
5. произведение коэффициента здесь это коэффициент а в квадрате и коэффициента здесь это кэффициент б в квадрате вот получается вот эта штука в квадрате минус вот это произведение меньше четыре на вот это произведение меньше равно нуля четверки сокращаются получается что а на б в квадрате меньше либы равно вот это перенесем в правую часть чтобы от минуса избавиться произведение длин да вот так квадратав длин все это есть неравенство кошипуниковского ну это неравиетство кашипу никовского возведенное в квадрат если хотите можно извлечь корень т гда тут получится а б тут получится длина а на длину б но при этом непонятно вот эта штука может быть как отрицательной так и положительноя но ее модуль меньше равно вот этого а сама она зажата между вот этим и минус вот этим то есть ну в общем как написано сверху вот такая загадочная ситуация доказательство как видите короткое простое но совершенно гениальное вот в смысле в таком жутковатом смысле
6. доказать что это частная действительно не превосходит единиц понятно понятно почему иначе получается логика по кругу ага да мы определили скорее но определение через произвольную белинейную форму мало ли чему она равна вдруг там не она бы на костинус угла но на самом деле это смотря как определить а как определить б как определить косину с угла мы как раз планируем определить именно так чтобы проблем не было но но надо надо доказать неравенство кошебниковского и поехали помните я вот буквально последние два три раза каждый раз на лекции про одну теорему говорил вот эта теорема это не проходной факт тут нужен какой то трюк тут будет красивая сложная док
7. три занимаемся нам недокомплекстных чисел да вот арсений я вот как раз пытаюсь объяснить что что вы не правы это логика по кругу давайте я сейчас еще раз я вот этот слайд закончу и это еще раз обсужу вот мы хотим чтобы вот эта величина оказывалась между плюс минус единицей тогда угол определяется как каркосинус и проблем нет но если это неравинство домножить на знаменатель получается вот такое неравенство что сколярное произведение между минус произведением длиной плюс произведением бли и вот это снова неравенство кашипа нюковского то есть получается следующая картина вот если бы неравенство кашипанюковского мы знали что всегда верно в любом абстрактном пространстве то из этого следовало бы что что длина вектора действительно длинна что она удотворяет неравенство треугольника что есть корректно определенные углы между векторами что не выйдет такого что мы
8. а а плюс тб равен нулю означает что а равно минус тб то есть ай б пропорциональны вот это неравенство остановится равенством тогда и только тогда когда векторы айб пропорциональны то есть линензависимы лежат о одной и той же прибой просто отличаются на констант при этом если ну если один из векторов нулевой то просто вот это равно нулю вот это равно нулю и вот это равно нулю а если они оба не нулевые то это сколерное прозвеление но оно либо положительное либо отрицательное и тогда либо вот это будет равенство либо здесь будет либо здесь ну конечно они оба было бы странно если бы были верны оба равенства когда все ненулевое так что вот так хорошо мы знаем когда оно обращается в равенство это нам пригодится на семинаре есть некоторые задачи которые решаются этим путем
9. кторов обычно меньше либо равно произведение их длин потому что это произведение длинн на косинусукла ну если вот такой шаг сделать мы еще вернемся к нему сейчас то дальше вот это выражение это полный квадрат под корнем да то есть это корень из квадрата ну и соответственно корень из квадрата это то что под ним только по модулю но это положительное число и так ну не отрицательно так что вот получается модуль длина а плюс длина б вот цепочка равенств и одно неравенство посередине но откуда это неравенство все таки следует да тут есть шаг который мы не обосновали что вот это каверное произведение меньше либо равно вот этого произведению и следующее наше действие это доказать отдельно этот шаг вот неравенство треугольника доказательство несложное но оно опирается на вот это неравенство а вот это неравенство это на свами большое интересное неравенство
10. что длина вектора действительно длина что она удовлетворяет неравенство треугольника что есть корректно определенные углы между векторами что не выйдет такого что мы попытаемся косинус посчитать он равен двум и вот собственно что скалерное произведение равно произведению длинны на костинус угла просто потому что мы так угол определили но если неравенство кашиб булинковского не не неверно в каком то пространстве с каким то скалверным произведением тогда все это не работает тогда и углов никаких нет понимаете вот там в чате просто написали что ну логично что скарерное призведение меньше равно призведению длинному потому что оно равно прозведению длинно на косинус угла я говорю наборот это костинус угла равен вот этому делить на вот это и как раз чтобы можно было говорить про костинус угла надо сначала вот надо сначала доказать что это частное действительно не превосходит единиц понятно понятно почему иначе получается
",1
Свойства ортогонального дополнения,Время: 61:35,3695,3755,линал_лекция_24,это размерность в если взять какое то пространство и дважды взять артегнальное дополнение то получается исходное пространство у это следует из вот этой прямой суммы да потому что ну не совсем на прямую но это следует из вот этого следствия один на самом деле просто ясно что вот это у будет лежать вот в таком дважды артегальном дополнении а точное равенство потому что размерность исходится из вот этой первой вот ну вот третье следствие что каждый вектор можно вот собственно разложить однозначно в сумму какого то вектора из у называется артогальная проекция вектора в на подпространство у и вектора дубль в он называется артурнальная составляющая вектора в относительно у давайте введем для них обозначение это будет опять пр и орт только теперь вектор в проецируется не на один вектор а на целое подпространство сотетственно арторнальное составляющее относительно под пространство вот такая конструкция,"['Время: 60:45', 'Время: 39:05', 'Время: 38:15']","1. ну и вот в принципе артоганальное дополнение к любому набору векторов можно сказать но мы будем в основном писать в качестве с выбирать разные подпространства и в принципе разницы нет ту твердо такое предложение что артоганальное дополнение к какому то набору векторов это тоже самое что артоганально дополнение клиене оболочке этого набора векторов да например вот на этом рисунке например если взять скажем вот просто не знаю там три вектора в одной плоскости в качестве множества с да то все равно с артоганальноя будет все равно педигулярно этой плоскости прямая то есть вот тоже самое как для то есть для нескольких векторов порождающих плоскость результат такой же как для самой
2. такой такой такой вот все векторы лежащие на прямой тагда как выглядит вот это артоганальное дополнение тут можно представить себе такую вот штуку плоскость проходящую через начало координат перпидикулярну этой прямой то я утверждаю что эта плоскость будет артоганальным дополнением да это множество таких векторов что они артоганальны и вот этому и вот этому и вот этому и вот это вот вся плоскость будет подходить или наоборот если в качестве с взять какую нибудь плоскость то наоборот артоганальным дополнением будет прямая перпиикуляртае ну я пока ничего не доказываю доказывать будем потом ну так вот просто привожу пример тоглядный чтобы было какое то представление что это та окей ну и вот в принципе арт
3. условно я могу нарисовать геометрическую картинку но она пока как бы не доказана вот есть направление а есть вектор икс тогда вот кто то опустил такой перпизикуляр и рассмотрел вот этот прикс на а это вот этот вектор он как бы на направление вектора а но его длина так подобрана чтобы вот он был такой проекцией икс она и еще рассмотрим орт икс относительно а это читается вслух так артоганальная составляющая вектора икс относительно вектора а и она устроена вот так силеной это наоборот все что осталось это икс минус проекция то есть вектор икс вы разложили в сумму проекция плюс ортоганальная составляющая
4. вектор там не знаю умножить на минус три то длина его умножится не на минус три а на три конечно да он станет втрое длиннее и еще торчать будет в другую сторону но это неважно и наконец неравенство треугольника если взять сумму векторов то длину можно оценить через длины по отдельности вот эти три свойства довольно ключевые свойства длины и вообще на самом деле через них как я уже пару слов сказал можно аксематически определить длину но правда будут некоторые проблемы от этого неважно тем не менее вот эти три свойства это такие вот ключевые свойства длины которыми мы будем очень очень много пользоваться давайте попробуем их быстро доказать ну пункт один мы только что вот на прошлом слайде сказали почему можно корень извлечь ну и корень он положительный там все хорошо ну и вот это примечание тоже мы обсудили вот второе свойство ну давайте напишем что
5. но в не равен нулю поэтому внв не равно нулю противоречие внв одновременно и равно нулю и не равно нулю так что так не бывает значит поэтому никакое подпространство не может пересекаться нейтревиально со своим артоганальным дополнением ну и вот мы увидели что с другой стороны все векторы раскладываются в сумму такую так что это прямая сумма пространство распадается в прямую сумму любого подпространство его артоганальное дополнение это очень классный факт мы его применим в через два три занятия довольно мощно следствие сумма размерности этих просцрессов это размерность в если взять какое то пространство и дважды взять артоганальное дополнение то получается исходное пространство у это следует из вот этой прямой суммы да потому что
6. с плюс минус единицами но наша форма положительно определена поэтому везде будут плюс единицы это нормальный вид но мы доказывали что он существует да мы уже знаем мы знаем как его искать методом гауса и методом лагранжа вот мы знаем что он существует все доказывать нечего так что вот в любом ифклидовом процессе есть артонормированные базисы их как правило бесконечно много ну как бы в каком то смысле так в кавычках меньше чем всех базисов да некая маленькая доля от всех базисов обладают вот этим хорошим свойством и они нас будут дальше интересовать ну все определение положили в копилку а теперь новая идея вот пусть есть два вектора а и икс можно тогда рассмотреть следующие выражения икс колярдо умножают на а делят нас
7. словоупотребление подчеркнуть но в целом в большинстве слоситуаций они взаимозаменяемы а в тех где не взаимозаменяемы слово артоганальный будет подходить поэтому я буду в основном им пользоваться потому что оно более распространенные есть вещи про которые можно сказать артоганальны но нельзя сказать перпетикулярн ну ладно у нас не урок русского языка продолжаюм и внимание тут написано так вот жалко предложение потому что ну в принципе это техническая лемма но на самом деле это совершенно невероятная техническая лемма удивительнейший факт пусть дан набор попарда артоганальных векторов да представьте себе визуально несколько векторов перпетикулярных попарда друг другу например три штуки в трехмерном просцессе и пусть это не нулевые векторы ну потому что нулевой вектор вообще говоря тоже другим артогадален
8. кости прямая то есть вот тоже самое как для то есть для нескольких векторов порождающих плоскость результат такой же как для самой плоскости целиком так что вот такое предложение доказывать я его не буду им можно пользоваться при необходимости в домашних задачах там или еще где но скорее всего оно нам никак не понадобится по крайней мере в лекциях оно не понадобится а вот что понадобится так это такое свойство что вот каким бы ни было с не важно под пространство или не подпространство но вот с артоганальное выходит под пространство ну действительно что надо показать что если есть два каких то вектора из рс артоганального то их линейная комбинация тоже вс артоганальная ну это очень легко что такое вй дубль в в с артоганальном это значит для любого икс из исходного с икс на в равен нулю и икс на дубль в равен нулю
9. пространство над р никаких больше полей вот только р и все и на нем зафиксирована какая нибудь симметрическая белинейная форма так чтобы она была положительно определена да вот какая нибудь но не совсем какая угодно а положительно определенная то есть в ее эколоническом виде везде плюсики вот такую форму называют слово скалерное произведение а ефклидовое пространство это вот когда в векторном пространстве кто то выбрал такую форму вот она зафиксирована ну вот такая конструкция ефклидового пространство то есть это похоже на обычную например геометрическую плоскость да есть вот векторное пространство сава плоскость и есть функция которая по двум вектором дает число вот скалерное произведение вот утверждается что в принципе в любом пространстве можно выбрать нечто похожее на скалерное произведение по свойствам надо взять положительно определенную форму
10. вектор в можно представить как субы проекции и артогадальные составляющие проекция будет лежать в у потому что там ну линейная ковидация ешек а артоганальные составляющие будут лежать в у артогадально потому что она артогадальда всем ешкам значит артогадальдо всего подпросренству но пересекаться эти под простренство не могут из за свойства сколярного произведения если бы они пересекались иначе если есть какой то вектор в в пересечении не нулевый то внав равно нулю потому что это произведение вектора из у и вектора из у артоганального да у артоганальное это есть такие векторы что если их умножить на вектор из у то ноль получается но в не равен нулю поэтому внав не равно нулю противоречие внв одновременно и равно нулю и не равно
",0
Определение евклидова пространства,Время: 5:45,345,405,линал_лекция_24,пространство над р никаких больше полей вот только р и все и на нем зафиксирована какая нибудь симметрическая белинейная форма так чтобы она была положительно определена да вот какая нибудь но не совсем какая угодно а положительно определенная то есть в ее эколоническом виде везде плюсики вот такую форму называют слово скалерное произведение а ефклидовое пространство это вот когда в векторном пространстве кто то выбрал такую форму вот она зафиксирована ну вот такая конструкция ефклидового пространство то есть это похоже на обычную например геометрическую плоскость да есть вот векторное пространство сава плоскость и есть функция которая по двум вектором дает число вот скалерное произведение вот утверждается что в принципе в любом пространстве можно выбрать нечто похожее на скалерное произведение по свойствам надо взять положительно определенную форму,"['Время: 5:45', 'Время: 4:55', 'Время: 44:55']","1. пространство над р никаких больше полей вот только р и все и на нем зафиксирована какая нибудь симметрическая белинейная форма так чтобы она была положительно определена да вот какая нибудь но не совсем какая угодно а положительно определенная то есть в ее эколоническом виде везде плюсики вот такую форму называют слово скалерное произведение а ефклидовое пространство это вот когда в векторном пространстве кто то выбрал такую форму вот она зафиксирована ну вот такая конструкция ефклидового пространство то есть это похоже на обычную например геометрическую плоскость да есть вот векторное пространство сава плоскость и есть функция которая по двум вектором дает число вот скалерное произведение вот утверждается что в принципе в любом пространстве можно выбрать нечто похожее на скалерное произведение по свойствам надо взять положительно определенную форму
2. цели это ну такая вот большая тоже фундаментальная тема на которую много всего опирается и вот одна из конструкций которая на нее опирается это так называемые евклидовые пространство я прямо сейчас дам определение это пространство в которых можно делать геометрию в которых можно рассматривать всякие понятия типа длины углов например и поэтому мы плавно постепенно займемся геометрией но ближайшие два три четыре не знаю сколько ну в общем ближайшие несколько недель геометрией мы займемся все еще не с очень такой геометрической стороны а скорее с алгебраической стороны это будет как бы ну вот вроде и геометрия а вроде и не совсем дальше в курсе мы еще более геометрические темы затронем вот ну собственно поехали пусть есть некоторое векторное пространство над р никаких больше полей вот только р и все и на нем зафиксирована какая нибудь симметрическая белинейная форма
3. сорок два тридцать о быстро я как то рассказываю да ну что нибудь придумаем новое определение пусть теперь у некоторо в ифкледовом пространстве есть какое то множество векторов и мы рассмотрим множество всех векторов которые артогадальны к каждому вектору из с да то есть вот тут множество таких векторов что ко всем всем всем векторам из с они артогадальны давайте я нарисую какой нибудь пример в обычном таком трехмерном пространстве вот например представьте себе что с скажем это прямая тогда то есть ну вот вектор такой такой такой вот все векторы лежащие на прямой тогда как выглядит вот это артогадальное дополнение тут можно представить себе такую вот штуку
4. но в не равен нулю поэтому внв не равно нулю противоречие внв одновременно и равно нулю и не равно нулю так что так не бывает значит поэтому никакое подпространство не может пересекаться нейтревиально со своим артоганальным дополнением ну и вот мы увидели что с другой стороны все векторы раскладываются в сумму такую так что это прямая сумма пространство распадается в прямую сумму любого подпространство его артоганальное дополнение это очень классный факт мы его применим в через два три занятия довольно мощно следствие сумма размерности этих просцрессов это размерность в если взять какое то пространство и дважды взять артоганальное дополнение то получается исходное пространство у это следует из вот этой прямой суммы да потому что
5. с плюс минус единицами но наша форма положительно определена поэтому везде будут плюс единицы это нормальный вид но мы доказывали что он существует да мы уже знаем мы знаем как его искать методом гауса и методом лагранжа вот мы знаем что он существует все доказывать нечего так что вот в любом ифклидовом процессе есть артонормированные базисы их как правило бесконечно много ну как бы в каком то смысле так в кавычках меньше чем всех базисов да некая маленькая доля от всех базисов обладают вот этим хорошим свойством и они нас будут дальше интересовать ну все определение положили в копилку а теперь новая идея вот пусть есть два вектора а и икс можно тогда рассмотреть следующие выражения икс колярдо умножают на а делят нас
6. теперь вектор в проецируется не на один вектор а на целое подпространство соответственно артоганальное составляющее относительно под пространство вот такая конструкция окей все окей ну хорошо ну вот если пространство убольшое порождено какими то ешками которое образует э артоганальный базис то у нас дли проекции есть формулы надо взять сумму вот таких вот скалерное произведение в на еито и делить на еиты на ит и на еиты ну сумма по всем вот подходящие по всем векторам если базис взять артонормированный а не просто артоганальный то в знаменателе стоит скалярный квадрат вектор с единичной длиной то есть один ну и делить на один можно не писать поэтому
7. это размерность в если взять какое то пространство и дважды взять артегнальное дополнение то получается исходное пространство у это следует из вот этой прямой суммы да потому что ну не совсем на прямую но это следует из вот этого следствия один на самом деле просто ясно что вот это у будет лежать вот в таком дважды артегальном дополнении а точное равенство потому что размерность исходится из вот этой первой вот ну вот третье следствие что каждый вектор можно вот собственно разложить однозначно в сумму какого то вектора из у называется артогальная проекция вектора в на подпространство у и вектора дубль в он называется артурнальная составляющая вектора в относительно у давайте введем для них обозначение это будет опять пр и орт только теперь вектор в проецируется не на один вектор а на целое подпространство сотетственно арторнальное составляющее относительно под пространство вот такая конструкция
8. а эту лемму отложим итак лемма будет такая что у матрица от расподелнена а вообще существует обратная да в этой формуле участвует обратная к матрице от распоединны а вот предположим что это обратное существует почему она существует мы разберемся позже я утверждаю что на самом деле она всегда существует это немножко удивительно потому что ну как так а что значит всегда существует как то обычно для произвольных матриц то существует то нет ну вот матрица ат распределенна а хорошая у нее будет существовать это мы обсудим в следующий раз а пока что пусть вот кто то взял собственно вот эту формулу применил рассмотрел вот это вот длинное произведение на вектор в ну обозначим результат у мы хотим показать да что это действительно проекция ну давайте во первых докажем что вот этот вектор у маленький действительно лежит в в пространстве у большом да
9. хорошо мы знаем когда оно обращается в равенство это нам пригодится на семинаре есть некоторые задачи которые решаются этим путем а пока что двигаемся дальше вот вы можете припоминать опять же такую вот геометрию школьного типа и там очень и очень большую роль во всех геометрических вопросах играют прямые углы в алгебре оказывается они играют еще большую роль прямые углы это невероятно важно и во многом ради них мы затеяли геометрию ради понятия перпендикулярности двух векторов поэтому давайте рассмотрим такое определение два вектора называются артогональными или также перпедикулярными это синонимы но синонемы контекстные вот если их сколянное прозделение равно нулю вот это таким привычным значком это обозначают то есть еще раз да артоганальные ну вону
10. кости прямая то есть вот тоже самое как для то есть для нескольких векторов порождающих плоскость результат такой же как для самой плоскости целиком так что вот такое предложение доказывать я его не буду им можно пользоваться при необходимости в домашних задачах там или еще где но скорее всего оно нам никак не понадобится по крайней мере в лекциях оно не понадобится а вот что понадобится так это такое свойство что вот каким бы ни было с не важно под пространство или не подпространство но вот с артоганальное выходит под пространство ну действительно что надо показать что если есть два каких то вектора из рс артоганального то их линейная комбинация тоже вс артоганальная ну это очень легко что такое вй дубль в в с артоганальном это значит для любого икс из исходного с икс на в равен нулю и икс на дубль в равен нулю
",1
